,Phrase,Question,Lemma,Answer,D1,D2,D3,F_Answer,F_D1,F_D2,F_D3
204,The hamster is biting the bars of its cage.,The hamster is ... the bars of its cage.,bite,biting,bited,bited,bites,present participle,past tense,past participle,3rd person singular present
205,Pink flamingos can live in extreme conditions.,Pink flamingos can ... in extreme conditions.,live,live,live,lived,lives,infinitive,infinitive,past tense,3rd person singular present
206,The rabbit ran over in its burrow.,The rabbit ... over in its burrow.,run,ran,run,runs,runned,past tense,infinitive,3rd person singular present,past participle
207,The hare was blinded by the headlights.,The hare ... by the headlights.,blind,was blinded,blinded,blinds,blinded,past participle,past tense,3rd person singular present,past participle
208,The squirrel jumped out from the tree.,The squirrel ... out from the tree.,jump,jumped,jumps,jumped,jump,past tense,3rd person singular present,past tense,infinitive
209,The goose rushed at the little boy.,The goose ... at the little boy.,rush,rushed,rushes,rushed,rushing,past tense,3rd person singular present,past participle,present participle
210,The turkey clucked when it saw the turkey cock.,The turkey ... when it saw the turkey cock.,cluck,clucked,clucking,clucked,clucks,past tense,present participle,past participle,3rd person singular present
211,The turkey clucked when it saw the turkey cock.,The turkey clucked when it ... the turkey cock.,see,saw,seed,sees,seeing,past tense,past tense,3rd person singular present,present participle
212,The turkey was eaten yesterday night,The turkey ... yesterday night,eat,was eaten,eating,eats,eated,past participle,present participle,3rd person singular present,past participle
213,The deer is being chased by the dogs.,The deer ... by the dogs.,chase,is being chased,chasing,chased,chased,past participle,present participle,past participle,past tense
214,The fawn suckles from its mother.,The fawn ... from its mother.,suckle,suckles,suckled,suckled,suckles,3rd person singular present,past participle,past tense,3rd person singular present
215,The hyena giggled loudly.,The hyena ... loudly.,giggle,giggled,giggles,giggled,giggling,past tense,3rd person singular present,past participle,present participle
216,Dromedaries have one bump while camels have two.,Dromedaries ... one bump while camels ... two.,have,have,haves,haved,have,non-3rd person singular present,3rd person singular present,past tense,infinitive
217,Dromedaries have one bump while camels have two.,Dromedaries ... one bump while camels ... two.,have,have,haved,having,haves,non-3rd person singular present,past participle,present participle,3rd person singular present
218,The hedgehog curled up to protect himself.,The hedgehog ... up to protect himself.,curl,curled,curled,curling,curled,past tense,past tense,present participle,past participle
219,The hedgehog curled up to protect himself.,The hedgehog curled up to ... himself.,protect,protect,protects,protecting,protected,infinitive,3rd person singular present,present participle,past participle
220,The turtle put its head back into its carapace.,The turtle ... its head back into its carapace.,put,put,putting,putted,puts,past tense,present participle,past tense,3rd person singular present
221,Kangaroo leaps can reach up to 13 meters.,Kangaroo leaps can ... up to 13 meters.,reach,reach,reaches,reach,reached,infinitive,3rd person singular present,infinitive,past tense
222,The Nile Perch made many fishes disappear recently.,The Nile Perch ... many fishes disappear recently.,make,made,maked,makes,maked,past tense,past tense,3rd person singular present,past participle
223,The Nile Perch made many fishes disappear recently.,The Nile Perch made many fishes ... recently.,disappear,disappear,disappeared,disappearing,disappeared,infinitive,past participle,present participle,past tense
224,The goldfish has been eaten by the cat.,The goldfish ... by the cat.,eat,has been eaten,eating,eated,eats,past participle,present participle,past tense,3rd person singular present
225,"Your canari is full of mites, you should treat it.","Your canari is full of mites, you should ... it.",treat,treat,treating,treat,treated,infinitive,present participle,infinitive,past tense
226,The triton went out of the pond.,The triton ... out of the pond.,go,went,goed,goed,going,past tense,past tense,past participle,present participle
227,Leeches have a particularly developed sense of smell.,Leeches ... a particularly developed sense of smell.,have,have,haved,haved,have,non-3rd person singular present,past participle,past tense,infinitive
228,Leeches have a particularly developed sense of smell.,Leeches have a particularly ... sense of smell.,develop,developed,developed,developing,develop,past participle,past participle,present participle,infinitive
229,Vultures use updrafts to move.,Vultures ... updrafts to move.,use,use,uses,use,used,non-3rd person singular present,3rd person singular present,infinitive,past tense
230,Vultures use updrafts to move.,Vultures use updrafts to ....,move,move,move,moving,moved,infinitive,infinitive,present participle,past tense
231,Red tuna is intensively fished.,Red tuna is intensively ....,fish,fished,fished,fishes,fish,past participle,past participle,3rd person singular present,infinitive
232,Do you want to take another slice of salmon?,Do you ... to take another slice of salmon?,want,want,wanted,wants,want,infinitive,past participle,3rd person singular present,infinitive
233,Do you want to take another slice of salmon?,Do you want to ... another slice of salmon?,take,take,taked,taked,taking,infinitive,past participle,past tense,present participle
234,This crab has a claw which is bigger than its other one.,This crab ... a claw which is bigger than its other one.,have,has,haved,haves,have,3rd person singular present,past participle,3rd person singular present,infinitive
235,Do you also eat the head of the shrimp?,Do you also ... the head of the shrimp?,eat,eat,eat,eated,eating,infinitive,infinitive,past tense,present participle
236,Your son is gathering shells on the beach.,Your son is ... shells on the beach.,gather,gathering,gather,gathers,gathering,present participle,infinitive,3rd person singular present,present participle
237,The snail went out of its shell.,The snail ... out of its shell.,go,went,go,gos,goed,past tense,infinitive,3rd person singular present,past participle
238,The little girl threw the starfish away into the sea.,The little girl ... the starfish away into the sea.,throw,threw,throwing,throw,throwed,past tense,present participle,infinitive,past tense
239,Mussels are eaten with French fries in Belgium.,Mussels ... with French fries in Belgium.,eat,are eaten,eat,eated,eating,past participle,infinitive,past tense,present participle
240,Oysters are eaten alive.,Oysters ... alive.,eat,are eaten,eated,eat,eating,past participle,past tense,infinitive,present participle
241,The octopus released some ink to make its escape easier.,The octopus ... some ink to make its escape easier.,release,released,releasing,released,released,past tense,present participle,past participle,past tense
242,The octopus released some ink to make its escape easier.,The octopus released some ink to ... its escape easier.,make,make,maked,make,makes,infinitive,past participle,infinitive,3rd person singular present
243,A crushed bug emits a strong smell.,A ... bug emits a strong smell.,crush,crushed,crushing,crush,crushed,past participle,present participle,infinitive,past participle
244,A crushed bug emits a strong smell.,A crushed bug ... a strong smell.,emit,emits,emit,emits,emitting,3rd person singular present,infinitive,3rd person singular present,present participle
245,The chameleon shifted colour once more.,The chameleon ... colour once more.,shift,shifted,shifted,shift,shifts,past tense,past tense,infinitive,3rd person singular present
246,Eels can move on dry land.,Eels can ... on dry land.,move,move,moving,moves,moved,infinitive,present participle,3rd person singular present,past tense
247,Praying mantis eat their male after mating.,... mantis eat their male after mating.,Pray,Praying,Praying,Prayed,Pray,present participle,present participle,past tense,infinitive
248,Praying mantis eat their male after mating.,Praying mantis ... their male after mating.,eat,eat,eat,eated,eats,infinitive,infinitive,past tense,3rd person singular present
249,Praying mantis eat their male after mating.,Praying mantis eat their male after ....,mate,mating,mates,mated,mated,present participle,3rd person singular present,past participle,past tense
250,"The flat is full of moths, clothes have been eaten up.","The flat is full of moths, clothes ... up.",eat,have been eaten,eats,eating,eated,past participle,3rd person singular present,present participle,past participle
251,The canary has been refusing to sing for weeks.,The canary has been ... to sing for weeks.,refuse,refusing,refusing,refused,refused,present participle,present participle,past tense,past participle
252,The canary has been refusing to sing for weeks.,The canary has been refu... to ... for weeks.,sing,sing,singed,sings,sing,infinitive,past participle,3rd person singular present,infinitive
253,The crow coaked loudly.,The crow ... loudly.,coak,coaked,coaked,coak,coaking,past tense,past tense,infinitive,present participle
254,The raven held a piece of cheese in his beak.,The raven ... a piece of cheese in his beak.,hold,held,holded,holds,holding,past tense,past participle,3rd person singular present,present participle
255,The heron is perched in the tree.,The heron ... in the tree.,perch,is perched,perches,perch,perched,past participle,3rd person singular present,infinitive,past participle
256,The owl hooted all night long.,The owl ... all night long.,hoot,hooted,hoots,hooted,hoot,past tense,3rd person singular present,past tense,infinitive
257,The owl spit a ball.,The owl ... a ball.,spit,spit,spitted,spitted,spit,past tense,past participle,past tense,infinitive
258,The albatros can fly over large distances.,The albatros can ... over large distances.,fly,fly,flying,fly,flies,infinitive,present participle,infinitive,3rd person singular present
259,The seagull landed on a rock.,The seagull ... on a rock.,land,landed,landed,landing,landed,past tense,past tense,present participle,past participle
260,The chimpazee is making faces.,The chimpazee is ... faces.,make,making,makes,making,maked,present participle,3rd person singular present,present participle,past tense
261,The raccoon washes its food before eating it.,The raccoon ... its food before eating it.,wash,washes,washing,washed,wash,3rd person singular present,present participle,past tense,infinitive
262,The raccoon washes its food before eating it.,The raccoon washes its food before ... it.,eat,eating,eating,eated,eated,present participle,present participle,past participle,past tense
263,The silk-worm was plunged into boiling water.,The silk-worm ... into boiling water.,plunge,was plunged,plunge,plunged,plunged,past participle,infinitive,past participle,past tense
264,The silk-worm was plunged into boiling water.,The silk-worm was plunged into ... water.,boil,boiling,boiling,boiled,boils,present participle,present participle,past tense,3rd person singular present
265,"I would like a pizza with achovies, please.","I would ... a pizza with achovies, please.",like,like,liked,liking,likes,infinitive,past participle,present participle,3rd person singular present
266,A school of sardines has been spotted by a helicopter.,A school of sardines ... by a helicopter.,spot,has been spotted,spotted,spots,spotted,past participle,past tense,3rd person singular present,past participle
267,The sole is a fish which merges with sand.,The sole is a fish which ... with sand.,merge,merges,merges,merge,merging,3rd person singular present,3rd person singular present,infinitive,present participle
268,The tail of the ray can contain a lethal venom.,The tail of the ray can ... a lethal venom.,contain,contain,contained,containing,contains,infinitive,past tense,present participle,3rd person singular present
269,Marsupials live mostly in Australia.,Marsupials ... mostly in Australia.,live,live,live,living,lived,non-3rd person singular present,infinitive,present participle,past participle
270,He has three ursin stings in the foot.,He ... three ursin stings in the foot.,have,has,haved,haves,having,3rd person singular present,past tense,3rd person singular present,present participle
271,The mangoose finally killed the cobra.,The mangoose finally ... the cobra.,kill,killed,killed,kill,killed,past tense,past tense,infinitive,past participle
272,The crow opened the walnut with its beak.,The crow ... the walnut with its beak.,open,opened,opening,opened,opened,past tense,present participle,past tense,past participle
273,Jackals live in small groups.,Jackals ... in small groups.,live,live,living,lives,lived,non-3rd person singular present,present participle,3rd person singular present,past participle
274,Millipedes cross the road carefully,Millipedes ... the road carefully,cross,cross,crossed,cross,crosses,non-3rd person singular present,past participle,infinitive,3rd person singular present
275,Centipedes live in the litter.,Centipedes ... in the litter.,live,live,lived,lives,live,non-3rd person singular present,past tense,3rd person singular present,infinitive
276,Tarentulas are eaten in Southeast Asia.,Tarentulas ... in Southeast Asia.,eat,are eaten,eat,eating,eated,past participle,infinitive,present participle,past tense
277,The pelican swallowed three fishes at a time.,The pelican ... three fishes at a time.,swallow,swallowed,swallowed,swallowed,swallow,past tense,past participle,past tense,infinitive
278,Tadpoles metamophose into frogs after a few weeks.,Tadpoles ... into frogs after a few weeks.,metamophose,metamophose,metamophosed,metamophosing,metamophoses,non-3rd person singular present,past participle,present participle,3rd person singular present
279,The stork nested on the chimney.,The stork ... on the chimney.,nest,nested,nest,nests,nested,past tense,infinitive,3rd person singular present,past tense
280,The caterpillar is making its cocoon.,The caterpillar is ... its cocoon.,make,making,maked,makes,maked,present participle,past participle,3rd person singular present,past tense
281,The marmot is digging its burrow.,The marmot is ... its burrow.,dig,digging,digs,dig,digging,present participle,3rd person singular present,infinitive,present participle
282,The skin of the cow is used to make leather.,The skin of the cow ... to make leather.,use,is used,used,uses,using,past participle,past participle,3rd person singular present,present participle
283,The skin of the cow is used to make leather.,The skin of the cow is used to ... leather.,make,make,makes,maked,making,infinitive,3rd person singular present,past participle,present participle
284,The fangs of the cat were covered with blood.,The fangs of the cat ... with blood.,cover,were covered,covers,covered,cover,past participle,3rd person singular present,past tense,infinitive
285,There are pigeon feathers all over the room.,There ... pigeon feathers all over the room.,be,are,be,bed,bing,non-3rd person singular present,infinitive,past participle,present participle
286,The turkey giggles to impress the female turkey.,The turkey ... to impress the female turkey.,giggle,giggles,giggles,giggle,giggling,3rd person singular present,3rd person singular present,infinitive,present participle
287,The turkey giggles to impress the female turkey.,The turkey giggles to ... the female turkey.,impress,impress,impresses,impressed,impressing,infinitive,3rd person singular present,past participle,present participle
288,Sheep bleated while on their way back to the stable.,Sheep ... while on their way back to the stable.,bleat,bleated,bleats,bleated,bleating,past tense,3rd person singular present,past participle,present participle
289,The studhorse neighed before galloping away.,The studhorse ... before galloping away.,neigh,neighed,neighing,neighs,neighed,past tense,present participle,3rd person singular present,past participle
290,The studhorse neighed before galloping away.,The studhorse neighed before ... away.,gallop,galloping,galloped,galloping,gallop,present participle,past participle,present participle,infinitive
291,You can hear a crow cawing far away.,You can ... a crow cawing far away.,hear,hear,hears,heared,heared,infinitive,3rd person singular present,past tense,past participle
292,You can hear a crow cawing far away.,You can hear a crow ... far away.,caw,cawing,cawed,cawed,cawing,present participle,past tense,past participle,present participle
293,The lion roared in the savanna.,The lion ... in the savanna.,roar,roared,roar,roars,roared,past tense,infinitive,3rd person singular present,past tense
294,Cows moo when they are scared,Cows ... when they are scared,moo,moo,mooed,moos,mooed,non-3rd person singular present,past tense,3rd person singular present,past participle
295,The neighbour's dog growled when he saw the children.,The neighbour's dog ... when he saw the children.,growl,growled,growl,growls,growled,past tense,infinitive,3rd person singular present,past participle
296,The neighbour's dog growled when he saw the children.,The neighbour's dog growled when he ... the children.,see,saw,seeing,seed,see,past tense,present participle,past participle,infinitive
297,The cat is meowing in front of the fridge.,The cat is ... in front of the fridge.,meow,meowing,meow,meowed,meowed,present participle,infinitive,past participle,past tense
298,The dogs barked all night long.,The dogs ... all night long.,bark,barked,barking,barked,barks,past tense,present participle,past tense,3rd person singular present
299,They sell turtle shells at the market.,They ... turtle shells at the market.,sell,sell,sell,selling,sells,non-3rd person singular present,infinitive,present participle,3rd person singular present
300,The fish scales should be removed before putting it in the oven.,The fish scales ... before putting it in the oven.,remove,should be removed,removed,removing,removed,past participle,past tense,present participle,past participle
301,The fish scales should be removed before putting it in the oven.,The fish scales should be removed before ... it in the oven.,put,putting,putting,putted,puts,present participle,present participle,past participle,3rd person singular present
302,The cat hurt his paw.,The cat ... his paw.,hurt,hurt,hurted,hurted,hurting,past tense,past participle,past tense,present participle
303,A shark fin alarmed the surfers.,A shark fin ... the surfers.,alarm,alarmed,alarms,alarming,alarmed,past tense,3rd person singular present,present participle,past participle
304,Zebras rays do not constitute a good camouflage.,Zebras rays do not ... a good camouflage.,constitute,constitute,constitutes,constitute,constituted,infinitive,3rd person singular present,infinitive,past participle
305,The eagle grasped the lamb into its claws.,The eagle ... the lamb into its claws.,grasp,grasped,grasp,grasping,grasped,past tense,infinitive,present participle,past tense
306,The cat uses its tail to keep its balance.,The cat ... its tail to keep its balance.,use,uses,used,using,use,3rd person singular present,past participle,present participle,infinitive
307,The cat uses its tail to keep its balance.,The cat uses its tail to ... its balance.,keep,keep,keeped,keeps,keeped,infinitive,past participle,3rd person singular present,past tense
308,The monkey cub suckled the teat of its mother.,The monkey cub ... the teat of its mother.,suckle,suckled,suckles,suckle,suckling,past tense,3rd person singular present,infinitive,present participle
309,The horse gave him a kick with his hoof.,The horse ... him a kick with his hoof.,give,gave,gived,gived,giving,past tense,past tense,past participle,present participle
310,Do you have pets at home?,Do you ... pets at home?,have,have,having,have,haved,infinitive,present participle,infinitive,past participle
311,The termitary seemed empty.,The termitary ... empty.,seem,seemed,seemed,seemed,seem,past tense,past participle,past tense,infinitive
312,The gorilla tried to intimidate the poacher.,The gorilla ... to intimidate the poacher.,try,tried,tried,tries,trying,past tense,past tense,3rd person singular present,present participle
313,The gorilla tried to intimidate the poacher.,The gorilla tried to ... the poacher.,intimidate,intimidate,intimidate,intimidating,intimidated,infinitive,infinitive,present participle,past participle
314,Urang utangs are threatened by palm oil culture.,Urang utangs ... by palm oil culture.,threaten,are threatened,threatened,threatened,threatening,past participle,past tense,past participle,present participle
315,There is a spring on its land.,There ... a spring on its land.,be,is,bed,bing,bed,3rd person singular present,past participle,present participle,past tense
316,Sloths live in Amazonia.,Sloths ... in Amazonia.,live,live,live,lived,living,non-3rd person singular present,infinitive,past tense,present participle
317,My father had his leg eaten by an alligator.,My father ... his leg eaten by an alligator.,have,had,haves,having,haved,past tense,3rd person singular present,present participle,past participle
318,My father had his leg eaten by an alligator.,My father had his leg ... by an alligator.,eat,eaten,eats,eating,eated,past participle,3rd person singular present,present participle,past participle
319,A viper was warming up in the sun.,A viper was ... up in the sun.,warm,warming,warmed,warmed,warm,present participle,past participle,past tense,infinitive
320,This grass-snake is sloughing its skin.,This grass-snake is ... its skin.,slough,sloughing,sloughed,sloughed,sloughs,present participle,past tense,past participle,3rd person singular present
321,A rattlesnake was coiled up around the branch.,A rattlesnake ... up around the branch.,coil,was coiled,coil,coiled,coils,past participle,infinitive,past tense,3rd person singular present
322,Lizards regulate their body temperature by sunbathing.,Lizards ... their body temperature by sunbathing.,regulate,regulate,regulate,regulated,regulates,non-3rd person singular present,infinitive,past participle,3rd person singular present
323,Toucans beaks are very coloured.,Toucans beaks are very ....,colour,coloured,coloured,colouring,colour,past participle,past tense,present participle,infinitive
324,The hawk swooped down on its prey.,The hawk ... down on its prey.,swoop,swooped,swooping,swoop,swooped,past tense,present participle,infinitive,past tense
325,Parrots can live up to eighty years.,Parrots can ... up to eighty years.,live,live,lived,lived,lives,infinitive,past participle,past tense,3rd person singular present
326,Parakeets often live in pairs.,Parakeets often ... in pairs.,live,live,living,lived,live,non-3rd person singular present,present participle,past tense,infinitive
327,A condor flied high in the sky.,A condor ... high in the sky.,fly,flied,flied,fly,flying,past tense,past participle,infinitive,present participle
328,The ostrich burried its head into the sand.,The ostrich ... its head into the sand.,burry,burried,burries,burry,burried,past tense,3rd person singular present,infinitive,past tense
329,"Penguins can fly, unlike ...","Penguins can ..., unlike ...",fly,fly,flied,flying,flied,infinitive,past participle,present participle,past tense
330,Penguins can swim over large distances to reach fishing zones.,Penguins can ... over large distances to reach fishing zones.,swim,swim,swim,swims,swimming,infinitive,infinitive,3rd person singular present,present participle
331,Penguins can swim over large distances to reach fishing zones.,Penguins can swim over large distances to ... fishing zones.,reach,reach,reaches,reaching,reached,infinitive,3rd person singular present,present participle,past tense
332,White bears were found drowned.,White bears ... drowned.,find,were found,find,finds,finded,past participle,infinitive,3rd person singular present,past tense
333,White bears were found drowned.,White bears were found ....,drown,drowned,drowns,drowning,drown,past participle,3rd person singular present,present participle,infinitive
334,The coyote seemed to be following a track.,The coyote ... to be following a track.,seem,seemed,seems,seemed,seeming,past tense,3rd person singular present,past tense,present participle
335,The coyote seemed to be following a track.,The coyote seemed to be ... a track.,follow,following,followed,followed,following,present participle,past tense,past participle,present participle
336,"Gynecologists deal with vagina problems, among others.","Gynecologists ... with vagina problems, among others.",deal,deal,deal,dealing,deals,non-3rd person singular present,infinitive,present participle,3rd person singular present
337,She twisted her ankle when she fell in the stairs.,She ... her ankle when she fell in the stairs.,twist,twisted,twisting,twisted,twisted,past tense,present participle,past tense,past participle
338,She twisted her ankle when she fell in the stairs.,She twisted her ankle when she ... in the stairs.,fall,fell,falling,falled,falled,past tense,present participle,past participle,past tense
339,He has a permanent pain between the scapulas.,He ... a permanent pain between the scapulas.,have,has,haved,haved,haves,3rd person singular present,past tense,past participle,3rd person singular present
340,Tears rolled on his cheeks.,Tears ... on his cheeks.,roll,rolled,roll,rolls,rolled,past tense,infinitive,3rd person singular present,past tense
341,The doctor took a sample of his saliva.,The doctor ... a sample of his saliva.,take,took,take,taked,taking,past tense,infinitive,past participle,present participle
342,He had only one testicle left after his motorcycle accident.,He ... only one testicle left after his motorcycle accident.,have,had,haved,haves,have,past tense,past participle,3rd person singular present,infinitive
343,He had only one testicle left after his motorcycle accident.,He had only one testicle ... after his motorcycle accident.,leave,left,leaved,leave,leaved,past participle,past tense,infinitive,past participle
344,Breast cancers are detected more and more precociously.,Breast cancers ... more and more precociously.,detect,are detected,detects,detected,detect,past participle,3rd person singular present,past participle,infinitive
345,Some people have three nipples.,Some people ... three nipples.,have,have,haved,haved,haves,non-3rd person singular present,past participle,past tense,3rd person singular present
346,He is trimming his nails.,He is ... his nails.,trim,trimming,trimming,trims,trimmed,present participle,present participle,3rd person singular present,past participle
347,Spinal nerves are the nerves emerging from the spinal cord.,Spinal nerves are the nerves ... from the spinal cord.,emerge,emerging,emerge,emerged,emerged,present participle,infinitive,past tense,past participle
348,Neurons are little renewed during adulthood.,Neurons are little ... during adulthood.,renew,renewed,renewed,renewed,renews,past participle,past tense,past participle,3rd person singular present
349,He has a scar under the navel.,He ... a scar under the navel.,have,has,having,haved,have,3rd person singular present,present participle,past tense,infinitive
350,She has a bruise on her forearm.,She ... a bruise on her forearm.,have,has,haves,haved,have,3rd person singular present,3rd person singular present,past participle,infinitive
351,"Her immune system is depressed, she has little white blood cells.","Her immune system ..., she has little white blood cells.",depress,is depressed,depressed,depressing,depressed,past participle,past participle,present participle,past tense
352,"Her immune system is depressed, she has little white blood cells.","Her immune system is depressed, she ... little white blood cells.",have,has,haved,haved,haves,3rd person singular present,past tense,past participle,3rd person singular present
353,Red blood cells carry oxygen throughout the body.,Red blood cells ... oxygen throughout the body.,carry,carry,carries,carried,carry,non-3rd person singular present,3rd person singular present,past participle,infinitive
354,The body develops antibodies againts parasites.,The body ... antibodies againts parasites.,develop,develops,developed,developing,developed,3rd person singular present,past participle,present participle,past tense
355,He has got a problem with one of his heart valves.,He has ... a problem with one of his heart valves.,get,got,getting,getted,gets,past participle,present participle,past tense,3rd person singular present
356,She had prominent cheekbones just like her sister.,She ... prominent cheekbones just like her sister.,have,had,having,haved,have,past tense,present participle,past participle,infinitive
357,Her face did not show any emotion.,Her face did not ... any emotion.,show,show,shows,show,showing,infinitive,3rd person singular present,infinitive,present participle
358,She clutched her fist to hide her pain.,She ... her fist to hide her pain.,clutch,clutched,clutching,clutched,clutched,past tense,present participle,past tense,past participle
359,She clutched her fist to hide her pain.,She clutched her fist to ... her pain.,hide,hide,hides,hide,hided,infinitive,3rd person singular present,infinitive,past participle
360,He broke his heel by falling in the stairs.,He ... his heel by falling in the stairs.,break,broke,break,breaks,breaking,past tense,infinitive,3rd person singular present,present participle
361,He broke his heel by falling in the stairs.,He broke his heel by ... in the stairs.,fall,falling,falls,falling,fall,present participle,3rd person singular present,present participle,infinitive
362,He has tensed up jaws.,He has ... up jaws.,tense,tensed,tense,tensed,tenses,past participle,infinitive,past tense,3rd person singular present
363,He fractured his kneecap when he fell on his knee,He ... his kneecap when he fell on his knee,fracture,fractured,fracturing,fractured,fractures,past tense,present participle,past tense,3rd person singular present
364,He fractured his kneecap when he fell on his knee,He fractured his kneecap when he ... on his knee,fall,fell,fall,falled,falling,past tense,infinitive,past tense,present participle
365,He is feeling a stiffness in his neck.,He is ... a stiffness in his neck.,feel,feeling,feeling,feeled,feeled,present participle,present participle,past participle,past tense
366,The pancreas produces juices essential for digestion.,The pancreas ... juices essential for digestion.,produce,produces,produced,produce,produced,3rd person singular present,past participle,infinitive,past tense
367,We can see almost all his squeleton on the radios.,We can ... almost all his squeleton on the radios.,see,see,seeing,seed,see,infinitive,present participle,past tense,infinitive
368,The spinal cord goes through the spine.,The spinal cord ... through the spine.,go,goes,gos,going,goed,3rd person singular present,3rd person singular present,present participle,past tense
369,She broke one of her teeth.,She ... one of her teeth.,break,broke,breaks,breaked,break,past tense,3rd person singular present,past participle,infinitive
370,He got a punch at the torso level.,He ... a punch at the torso level.,get,got,gets,getted,getted,past tense,3rd person singular present,past participle,past tense
371,She has large hips,She ... large hips,have,has,haved,have,having,3rd person singular present,past participle,infinitive,present participle
372,People wear the wedding band at the left annular.,People ... the wedding band at the left annular.,wear,wear,wear,weared,weared,non-3rd person singular present,infinitive,past tense,past participle
373,People wear the wedding band at the left annular.,People wear the wedding band at the ... annular.,leave,left,leaved,leaves,leaving,past participle,past participle,3rd person singular present,present participle
374,She pointed her index at him.,She ... her index at him.,point,pointed,pointed,pointing,point,past tense,past participle,present participle,infinitive
375,She has fractured her medium finger.,She has ... her medium finger.,fracture,fractured,fracture,fractures,fractured,past participle,infinitive,3rd person singular present,past participle
376,She has a slint at her little finger.,She ... a slint at her little finger.,have,has,haves,haved,having,3rd person singular present,3rd person singular present,past tense,present participle
377,He has a scar at the pubis level.,He ... a scar at the pubis level.,have,has,haved,having,haved,3rd person singular present,past tense,present participle,past participle
378,He had to do a radio of the pelvis.,He ... to do a radio of the pelvis.,have,had,haved,have,haves,past tense,past tense,infinitive,3rd person singular present
379,He had to do a radio of the pelvis.,He had to ... a radio of the pelvis.,do,do,doed,doed,do,infinitive,past participle,past tense,infinitive
380,He broke his clavicle at a rugby practice.,He ... his clavicle at a rugby practice.,break,broke,breaking,breaked,break,past tense,present participle,past participle,infinitive
381,The ostrich burried its head into the sand.,The ostrich ... its head into the sand.,burry,burried,burried,burrying,burries,past tense,past tense,present participle,3rd person singular present
382,One has to strech his legs after running.,One ... to strech his legs after running.,have,has,having,haved,haved,3rd person singular present,present participle,past tense,past participle
383,One has to strech his legs after running.,One has to ... his legs after running.,strech,strech,strech,streches,streched,infinitive,infinitive,3rd person singular present,past participle
384,One has to strech his legs after running.,One has to strech his legs after ....,run,running,runned,run,running,present participle,past tense,infinitive,present participle
385,He broke his arm in a skiing accident.,He ... his arm in a skiing accident.,break,broke,breaked,breaking,breaked,past tense,past tense,present participle,past participle
386,She is flexible enough to touch her feet with her hands.,She is flexible enough to ... her feet with her hands.,touch,touch,touched,touch,touching,infinitive,past tense,infinitive,present participle
387,She dislocated her shoulder when she fell off her bike.,She ... her shoulder when she fell off her bike.,dislocate,dislocated,dislocating,dislocate,dislocates,past tense,present participle,infinitive,3rd person singular present
388,She dislocated her shoulder when she fell off her bike.,She dislocated her shoulder when she ... off her bike.,fall,fell,falls,fall,falled,past tense,3rd person singular present,infinitive,past participle
389,She sees a physiotherapist for her knee problems.,She ... a physiotherapist for her knee problems.,see,sees,sees,see,seed,3rd person singular present,3rd person singular present,infinitive,past participle
390,He bumped his elbow on the door handle.,He ... his elbow on the door handle.,bump,bumped,bump,bumping,bumped,past tense,infinitive,present participle,past participle
391,I have sprained my wrist when I fell.,I have ... my wrist when I fell.,sprain,sprained,sprained,sprain,sprained,past participle,past tense,infinitive,past participle
392,I have sprained my wrist when I fell.,I have sprained my wrist when I ....,fall,fell,falled,falled,falls,past tense,past participle,past tense,3rd person singular present
393,I cannot bend my finger anymore.,I cannot ... my finger anymore.,bend,bend,bended,bending,bend,infinitive,past participle,present participle,infinitive
394,He was asked for his thumb fingerprint.,He ... for his thumb fingerprint.,ask,was asked,asking,asked,asks,past participle,present participle,past tense,3rd person singular present
395,She had a nose job.,She ... a nose job.,have,had,haved,haves,have,past tense,past tense,3rd person singular present,infinitive
396,Shut your mouth when you eat.,... your mouth when you eat.,Shut,Shut,Shutted,Shutted,Shuts,infinitive,past tense,past participle,3rd person singular present
397,Shut your mouth when you eat.,Shut your mouth when you ....,eat,eat,eat,eating,eats,non-3rd person singular present,infinitive,present participle,3rd person singular present
398,Do I have an eyelash in my eye?,Do I ... an eyelash in my eye?,have,have,haved,haved,haves,infinitive,past participle,past tense,3rd person singular present
399,He opened his chin when he fell off his bike.,He ... his chin when he fell off his bike.,open,opened,open,opens,opened,past tense,infinitive,3rd person singular present,past tense
400,He opened his chin when he fell off his bike.,He opened his chin when he ... off his bike.,fall,fell,falls,fall,falled,past tense,3rd person singular present,infinitive,past participle
401,He has a pimple on the forehead.,He ... a pimple on the forehead.,have,has,having,haves,have,3rd person singular present,present participle,3rd person singular present,infinitive
402,She has curly hair.,She ... curly hair.,have,has,haved,haves,haved,3rd person singular present,past tense,3rd person singular present,past participle
403,"Your hairs have clogged the sink, you have to be more careful when you shave.","Your hairs have ... the sink, you have to be more careful when you shave.",clog,clogged,clogged,clog,clogs,past participle,past tense,infinitive,3rd person singular present
404,"Your hairs have clogged the sink, you have to be more careful when you shave.","Your hairs ... clogged the sink, you ... to be more careful when you s....",have,have,having,haved,haves,non-3rd person singular present,present participle,past participle,3rd person singular present
405,"Your hairs have clogged the sink, you have to be more careful when you shave.","Your hairs have clogged the sink, you have to be more careful when you ....",shave,shave,shaves,shaved,shaving,non-3rd person singular present,3rd person singular present,past participle,present participle
406,She has a beauty spot on the left buttock.,She ... a beauty spot on the left buttock.,have,has,having,haved,have,3rd person singular present,present participle,past participle,infinitive
